asset_id,new_no,no_pc,Equipment_details,type_equipment,project,spec,ssd,ram,gpu,monitor1,brand_1,monitor2,brand_2,yfm_1,How_long,Service_life,update
467,430559IJBT042,PI-0110,Printer Brother MFC-J3520 ,Printer,,,,,,,,,,,,,
468,430559PTHP047,PI-0116,HP Desingjet T120,Plotter,,,,,,,,,,,,,
469,430559IJES049,PI-0118,Epson L565+Tank,Printer,,,,,,,,,,,,,
470,430559IJES052,PI-0121,Epson L310+Tank แบบเติมน้ำ,Printer,,,,,,,,,,,,,
471,430559IJES053,PI-0122,Epson L1300+Tank,Printer,,,,,,,,,,,,,
472,430559IJES055,PI-0124,Epson L565+Tank,Printer,,,,,,,,,,,,,
473,430555IJCN057,PI-0126,Canon Printer MP287,Printer,,,,,,,,,,,,,
474,430560IJHP083,PI-0130,HP Officejet 7510,Printer,,,,,,,,,,,,,
475,430562IJBT088,PI-0137,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
476,430562IJBT090,PI-0139,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
477,430562IJBT091,PI-0140,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
478,430562IJBT093,PI-0142,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
479,430562IJBT094,PI-0143,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
480,430562IJEP096,PI-0145,Ink (All-in-one) EPSON L3110 + Ink Tank,Printer,,,,,,,,,,,,,
481,430562IJBT097,PI-0146,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
482,430562IJBT098,PI-0147,Brother MFC-J2330DW,Printer,,,,,,,,,,,,,
483,430564IJHP002,PI-0149,HP Designjet T650 24 inch Printer,Printer,,,,,,,,,,,,,
484,430565IJBT001,PI-0151,Brother MFC-J2730DW,Printer,,,,,,,,,,,,,
485,430566IJBT001,PI-0153,Ink (All-in-one) BROTHER MFC-J2340DW,Printer,,,,,,,,,,,,,
486,430554LSHP058,PL-0002,HP Laserjet p1102w,Printer,,,,,,,,,,,,,
487,430556PTKI063,PL-0009,KIP 700M,Plotter,,,,,,,,,,,,,
488,430556LSHP064,PL-0010,HP Laserjet p1102w,Printer,,,,,,,,,,,,,
489,430558LSHP067,PL-0016,HP Laserjet p1102w,Printer,,,,,,,,,,,,,
490,430558LSHP069,PL-0019,HP laserJet Pro MFP M125a,Printer,,,,,,,,,,,,,
491,430558LSHP071,PL-0021,Printer FUJI-XEROX Color CM305df,Printer,,,,,,,,,,,,,
492,430559LSFJ072,PL-0022,Fuji Xerox Docuprnt P265DW,Printer,,,,,,,,,,,,,
493,430559LSFJ073,PL-0024,Fuji Xerox Docuprnt P265DW,Printer,,,,,,,,,,,,,
494,430561PTKI075,PL-0026,เครื่องพิมพ์แบบแปลนระบบ LED KIP 7170,Plotter,,,,,,,,,,,,,
495,430563CPFI001,PL-0027,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C3374 (465431),Plotter,,,,,,,,,,,,,
496,430563CPFI002,PL-0028,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C2263 (467901),Plotter,,,,,,,,,,,,,
497,430563CPFI003,PL-0029,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C2263 (467902),Plotter,,,,,,,,,,,,,
498,430563CPFI004,PL-0030,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C2263 (4519299),Plotter,,,,,,,,,,,,,
499,430563CPFI005,PL-0031,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C2263 (465599),Plotter,,,,,,,,,,,,,
500,430563CPFI006,PL-0032,เครื่องถ่ายเอกสาร Fuji Xerox DocuCentre C2263 (470461),Plotter,,,,,,,,,,,,,
501,43065686AC001,PRO-0003,Projector ACER P1163,Projector,,,,,,,,,,,,,
502,43065786AC002,PRO-0004,Projector ACER P1163,Projector,,,,,,,,,,,,,
503,43065817OP005,PRO-0005,Projector Optoma,Projector,,,,,,,,,,,,,
504,43065886BQ003,PRO-0007,Projector Benq MS506,Projector,,,,,,,,,,,,,
505,43065886ES004,PRO-0008,Projector Epson EB-S04,Projector,,,,,,,,,,,,,
506,43066286SN005,PRO-0009,เครื่องฉายโปรเจคเตอร์ 5000 Lumens SONY,Projector,,,,,,,,,,,,,
507,,PRO-0010,เครื่องฉาย กม.5,Projector,,,,,,,,,,,,,
508,43066486BQ001,PRO-0011,Projector BenQ MX535,Projector,,,,,,,,,,,,,
509,43066486AC002,PRO-0012,Projector Acer X1327Wi,Projector,,,,,,,,,,,,,
510,43066886BQ001,PRO-0013,Projector BENQ MW560,Projector,,,,,,,,,,,,,
511,430160SVLV191,SV-0001,Server Lenovo System X3650 M5,Server,,,,,,,,,,,,,
512,430162SVLV001,SV-0002,Lenovo System x3250 M6 HS LFF ,Server,,,,,,,,,,,,,
513,430163SVHP001,SV-0003,HPE PROLIANT DL380 Gen10,Server,,,,,,,,,,,,,
514,43045510ST001,UPS-0001,UPS System 1000 VA,UPS,,,,,,,,,,,,,
515,43045510ST002,UPS-0002,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
516,43045510ST004,UPS-0004,UPS System 1000 VA,UPS,,,,,,,,,,,,,
517,43045510ST005,UPS-0005,UPS System 1000 VA,UPS,,,,,,,,,,,,,
518,43045510ST007,UPS-0007,UPS System 1000 VA,UPS,,,,,,,,,,,,,
519,43045510ST008,UPS-0008,UPS System 1000 VA,UPS,,,,,,,,,,,,,
520,43045510ST012,UPS-0012,UPS System 1000 VA,UPS,,,,,,,,,,,,,
521,43045610ST014,UPS-0017,UPS System Light 1000VA,UPS,,,,,,,,,,,,,
522,43045610ST015,UPS-0018,UPS System Light 1000VA,UPS,,,,,,,,,,,,,
523,43045680SD019,UPS-0023,UPS Synsome S9,UPS,,,,,,,,,,,,,
524,43045680SD020,UPS-0024,UPS Synsome S9,UPS,,,,,,,,,,,,,
525,43045680SD022,UPS-0025,UPS Synsome S9,UPS,,,,,,,,,,,,,
526,43045510ST023,UPS-0033,UPS System 1000 VA,UPS,,,,,,,,,,,,,
527,43045510ST024,UPS-0036,UPS System 1000 VA,UPS,,,,,,,,,,,,,
528,43045510ST025,UPS-0037,UPS System 1000 VA,UPS,,,,,,,,,,,,,
529,43045510ST029,UPS-0042,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
530,43045510ST030,UPS-0043,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
531,43045510ST035,UPS-0049,UPS System 1000 VA,UPS,,,,,,,,,,,,,
532,43045510ST036,UPS-0050,UPS System 1000 VA,UPS,,,,,,,,,,,,,
533,43045510ST037,UPS-0052,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
534,43045510ST039,UPS-0054,UPS System 1000 VA,UPS,,,,,,,,,,,,,
535,43045410SB042,UPS-0057,UPS Stable Line 1000VA,UPS,,,,,,,,,,,,,
536,43045610ST046,UPS-0063,UPS System 1000 VA,UPS,,,,,,,,,,,,,
537,43045510ST051,UPS-0070,UPS System 1000 VA,UPS,,,,,,,,,,,,,
538,43045610ST052,UPS-0071,UPS System 1000 VA,UPS,,,,,,,,,,,,,
539,43045610ST060,UPS-0089,UPS System 1000 VA,UPS,,,,,,,,,,,,,
540,43045610ST058,UPS-0091,UPS System 1000 VA,UPS,,,,,,,,,,,,,
541,43045610SB063,UPS-0097,UPS Stable Line 1000VA,UPS,,,,,,,,,,,,,
542,43045510ST064,UPS-0098,UPS System 1000 VA,UPS,,,,,,,,,,,,,
543,43045510ST065,UPS-0104,UPS System 1000 VA,UPS,,,,,,,,,,,,,
544,43045610SB068,UPS-0108,UPS Stable Line 1000VA,UPS,,,,,,,,,,,,,
545,43045610SB070,UPS-0110,UPS Stable Line 1000VA,UPS,,,,,,,,,,,,,
546,UPS-0111,UPS-0111,UPS Stable Line 1000VA,UPS,,,,,,,,,,,,,
547,43045610ST180,UPS-0112,UPS System 1000 VA,UPS,,,,,,,,,,,,,
548,43045610ST071,UPS-0113,UPS System 1000 VA,UPS,,,,,,,,,,,,,
549,43045610SB074,UPS-0117,UPS Stable Line 1000VA (UPS-0118),UPS,,,,,,,,,,,,,
550,43045610ST086,UPS-0136,UPS System 1000 VA,UPS,,,,,,,,,,,,,
551,43045610ST087,UPS-0140,UPS System 1000 VA,UPS,,,,,,,,,,,,,
552,43045510ST092,UPS-0145,UPS System Light 1000VA,UPS,,,,,,,,,,,,,
553,43045810ST167,UPS-0153,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
554,43045810ST169,UPS-0155,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
555,43045810ST099,UPS-0156,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
556,43045810ST100,UPS-0157,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
557,43045810ST102,UPS-0159,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
558,43045810ST103,UPS-0160,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
559,43045810ST111,UPS-0162,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
560,43045810ST106,UPS-0164,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
561,UPS-0169,UPS-0169,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
562,43045810ST112,UPS-0170,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
563,43045810ST113,UPS-0171,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
564,UPS-0173,UPS-0173,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
565,43045810ST116,UPS-0177,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
566,43045810ST119,UPS-0180,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
567,43045810ST122,UPS-0183,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
568,43045810ST124,UPS-0185,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
569,UPS-0186,UPS-0186,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
570,43045810ST126,UPS-0187,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
571,43045810ST128,UPS-0190,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
572,43045810ST133,UPS-0195,UPS System 1000 VA,UPS,,,,,,,,,,,,,
573,43045910ET136,UPS-0199,UPS 1000VA ETECH Ego (LCD),UPS,,,,,,,,,,,,,
574,43045910ET138,UPS-0201,UPS 1000VA ETECH Ego (LCD),UPS,,,,,,,,,,,,,
575,43045910ET140,UPS-0203,UPS 1000VA ETECH Ego (LCD),UPS,,,,,,,,,,,,,
576,43045985ST141,UPS-0204,UPS System 850 VA,UPS,,,,,,,,,,,,,
577,43045985ST145,UPS-0205,UPS System 850 VA,UPS,,,,,,,,,,,,,
578,43045985ST178,UPS-0206,UPS System 850 VA,UPS,,,,,,,,,,,,,
579,43045985ST143,UPS-0207,UPS System 850 VA,UPS,,,,,,,,,,,,,
580,43045985ST144,UPS-0210,UPS System 850 VA,UPS,,,,,,,,,,,,,
581,43045985ST146,UPS-0212,UPS System 850 VA,UPS,,,,,,,,,,,,,
582,43045910ST149,UPS-0215,UPS System 1000 VA,UPS,,,,,,,,,,,,,
583,43045910ST153,UPS-0219,UPS System 1000 VA,UPS,,,,,,,,,,,,,
584,43045910ET155,UPS-0221,UPS 1000VA ETECH Ego (LCD),UPS,,,,,,,,,,,,,
585,43045910ST156,UPS-0222,UPS System 1000 VA,UPS,,,,,,,,,,,,,
586,43045910ST158,UPS-0224,UPS System 1000 VA,UPS,,,,,,,,,,,,,
587,43045910ST159,UPS-0225,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
588,43045910ST161,UPS-0227,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
589,43045910ST162,UPS-0228,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
590,43045910ST171,UPS-0233,UPS System 850 VA,UPS,,,,,,,,,,,,,
591,43045910ST173,UPS-0234,UPS 1000VA SYSTEM Bull (LCD),UPS,,,,,,,,,,,,,
592,43046010SD181,UPS-0239,UPS 1000 VA Syndome Premium-1000,UPS,,,,,,,,,,,,,
593,43046010SD182,UPS-0240,UPS 1000 VA Syndome Premium-1000,UPS,,,,,,,,,,,,,
594,43046010SD183,UPS-0241,UPS 1000 VA Syndome Premium-1000,UPS,,,,,,,,,,,,,
595,43046080SD184,UPS-0242,UPS 800 VA Syndome Mini,UPS,,,,,,,,,,,,,
596,43046080SD185,UPS-0243,UPS 800 VA Syndome Mini,UPS,,,,,,,,,,,,,
597,43046080SD186,UPS-0244,UPS 800 VA Syndome Mini,UPS,,,,,,,,,,,,,
598,43046080SD187,UPS-0245,UPS 800 VA Syndome Mini,UPS,,,,,,,,,,,,,
599,43046080SD188,UPS-0246,UPS 800 VA Syndome Mini,UPS,,,,,,,,,,,,,
600,43046080SD189,UPS-0247,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
601,43046080SD190,UPS-0248,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
602,43046080SD191,UPS-0249,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
603,43046080SD193,UPS-0251,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
604,43046080SD194,UPS-0252,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
605,43046080SD195,UPS-0253,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
606,43046080SD196,UPS-0254,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
607,43046080SD198,UPS-0256,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
608,43046080SD200,UPS-0258,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
609,43046080SD201,UPS-0259,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
610,43046080SD203,UPS-0261,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
611,43046080SD204,UPS-0262,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
612,43046080SD205,UPS-0263,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
613,43046080SD208,UPS-0266,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
614,43046080SD209,UPS-0267,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
615,43046080SD211,UPS-0269,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
616,43046080SD212,UPS-0270,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
617,43046080SD213,UPS-0271,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
618,43046080SD214,UPS-0272,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
619,43046080SD215,UPS-0273,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
620,43046080SD216,UPS-0274,USP 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
621,43046112SU217,UPS-0275,UPS 1200VA Sun Micro (LCD),UPS,,,,,,,,,,,,,
622,43046180SD218,UPS-0276,USP 800VA 'Syndome' ECO,UPS,,,,,,,,,,,,,
623,43046280SD220,UPS-0278,USP 800VA 'Syndome' ECO,UPS,,,,,,,,,,,,,
624,43046380ET002,UPS-0283,UPS 1000VA Etech Thor,UPS,,,,,,,,,,,,,
625,43046380ET004,UPS-0285,UPS 1000VA Etech Thor,UPS,,,,,,,,,,,,,
626,43046380ET005,UPS-0286,UPS 1000VA Etech Thor,UPS,,,,,,,,,,,,,
627,43046380ET006,UPS-0287,UPS 1000VA Etech Thor,UPS,,,,,,,,,,,,,
628,43046380ET010,UPS-0291,UPS 1000VA Etech Thor,UPS,,,,,,,,,,,,,
629,43046380SD011,UPS-0292,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
630,43046308OSD012,UPS-0293,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
631,43046308OSD013,UPS-0294,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
632,43046380SD014,UPS-0295,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
633,43046380VL015,UPS-0296,Vertiv Liebert GXT5 2000,UPS,,,,,,,,,,,,,
634,43046380SD016,UPS-0297,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
635,43046380SD017,UPS-0298,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
636,43046380SD018,UPS-0299,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
637,43046380SD019,UPS-0300,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
638,43046380SD020,UPS-0301,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
639,43046380SD021,UPS-0302,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
640,43046380SD022,UPS-0303,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
641,43046380SD025,UPS-0306,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
642,43046380SD026,UPS-0307,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
643,43046380SD027,UPS-0308,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
644,43046380SD029,UPS-0310,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
645,43046380SD031,UPS-0312,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
646,43046880SD001,UPS-0313,USP 1000VA 'SYNDOME' ECO II 1000,UPS,,,,,,,,,,,,,
647,43046880SD002,UPS-0314,USP 1000VA 'SYNDOME' ECO II 1000,UPS,,,,,,,,,,,,,
648,43046880SD003,UPS-0315,USP 1000VA 'SYNDOME' ECO II 1000,UPS,,,,,,,,,,,,,
649,43046880SD004,UPS-0316,USP 1000VA 'SYNDOME' ECO II 1000,UPS,,,,,,,,,,,,,
650,43046880SD005,UPS-0317,USP 1000VA 'SYNDOME' ECO II 1000,UPS,,,,,,,,,,,,,
651,43156480YMH001,S-001,Mixer YAMAHA MG12XU,audio_set,,,,,,,,,,,,,
652,43156480GG002,S-002,Wireless Microphone Dual Handheld GYGAR IRT WA-586,audio_set,,,,,,,,,,,,,
653,43156480GG003,S-003,Wireless Microphone Dual Handheld GYGAR IRT WA-586,audio_set,,,,,,,,,,,,,
654,43156480GG004,S-004,Wireless Microphone Dual Handheld GYGAR IRT WA-586,audio_set,,,,,,,,,,,,,
655,43156480TOA005,S-005,Power amplifier 60W 100V Line TOA A-2060D,audio_set,,,,,,,,,,,,,
656,,U-0001,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
657,,U-0005,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
658,,U-0006,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
659,,U-0007,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
660,,U-0008,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
661,,U-0009,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
662,,U-0010,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
663,,U-0011,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
664,,U-0012,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
665,,U-0013,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
666,,U-0014,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
667,,U-0015,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
668,,U-0016,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
669,,U-0017,UPS 800VA 'Syndome' Premium,UPS,,,,,,,,,,,,,
670,43046980SD001,UPS-69-001,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
671,43046980SD002,UPS-69-002,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
672,43046980SD003,UPS-69-003,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
673,43046980SD004,UPS-69-004,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
674,43046980SD005,UPS-69-005,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
675,43046980SD006,UPS-69-006,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
676,43046980SD007,UPS-69-007,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
677,43046980SD008,UPS-69-008,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
678,43046980SD009,UPS-69-009,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
679,43046980SD010,UPS-69-010,UPS 1000VA SYNDOME ECO II 1000 LED,UPS,,,,,,,,,,,,,
680,,4391-60-015,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
681,,4391-60-035,กล้อง CCTV,CCTV,,,,,,,,,,,,,
682,,4391-61-049,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
683,,4391-61-052,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
684,,4391-62-009,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
685,,4391-62-030,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
686,,4391-64-004,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
687,,4391-64-009,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
688,,4391-61-058,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
689,,4391-62-038,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
690,,4390-59-001,เครื่องบันทึก IP,NVR,,,,,,,,,,,,,
691,,4391-60-013,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
692,,4391-CCTV-016,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
693,,4390-62-004,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
694,,4391-62-022,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
695,,4391-62-026,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
696,,4391-62-033,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
697,,4390-61-010,เครื่องบันทึก IP 8 Chanel + POE,NVR,,,,,,,,,,,,,
698,,4390-61-012,เครื่องบันทึก IP 8 Chanel + POE,NVR,,,,,,,,,,,,,
699,,4390-62-005,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
700,,4390-62-007,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
701,,4391-60-019,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
702,,4391-60-022,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
703,,4391-60-025,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
704,,4391-61-051,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
705,,4391-61-053,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
706,,4391-61-054,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
707,,4391-61-057,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
708,,4391-61-061,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
709,,4391-61-062,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
710,,4391-62-006,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
711,,4391-62-008,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
712,,4391-62-017,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
713,,4391-62-021,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
714,,4391-62-023,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
715,,4391-62-027,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
716,,4391-62-032,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
717,,4391-62-035,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
718,,4391-64-001,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
719,,4391-64-005,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
720,,4391-64-006,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
721,,4391-64-007,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
722,,4391-64-008,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
723,,4391-64-012,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
724,,4391-65-001,กล้องวงจรปิด HIKVISION DS-2CD2023G2-I (2.8mm),CCTV,,,,,,,,,,,,,
725,,CIP-VSP-006,,CCTV,,,,,,,,,,,,,
726,,CIP-VSP-007,,CCTV,,,,,,,,,,,,,
727,,CIP-VSP-008,,CCTV,,,,,,,,,,,,,
728,,CIP-VSP-009,,CCTV,,,,,,,,,,,,,
729,,CIP-VSP-010,,CCTV,,,,,,,,,,,,,
730,,CIP-VSP-011,,CCTV,,,,,,,,,,,,,
731,,4390-62-001,เครื่องบันทึก Embedded Plug & Play 4K NVR,NVR,,,,,,,,,,,,,
732,,4391-62-036,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
733,,4391-64-015,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
734,,4390-62-002,เครื่องบันทึก Embedded Plug & Play 4K NVR,NVR,,,,,,,,,,,,,
735,,4391-62-003,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
736,,4391-62-005,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
737,,4391-62-010,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
738,,4391-62-011,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
739,,4390-60-005,เครื่องบันทึก analog,NVR,,,,,,,,,,,,,
740,,4391-60-026,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
741,,4391-60-027,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
742,,4391-CCTV-028,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
743,,4390-62-003,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
744,,4391-61-063,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
745,,4391-61-065,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
746,,4391-64-011,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
747,,4390-64-002,เครื่องบันทึก Hikvision DS-7108NI-Q1/8p/m,NVR,,,,,,,,,,,,,
748,,4391-62-039,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
749,,4391-62-040,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
750,,4391-64-016,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
